"slug","name","nameRw","category","brand","price_RWF","stock","sku","shortDescription","primaryImage"
"777-men-super-love-perfume-set-2-pcs-1","777 MEN Super Love Perfume Set (2 Pcs)","","fragrance","","0","0","FCS-790880","777 MEN Super Love Perfume Set (2 Pcs) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785526939/freedomcosmeticshop/products/vwj4mnnahfjk8pm9hsxk.jpg"
"american-dream-cocoa-butter-lemon-cream","American Dream Cocoa Butter Lemon Cream","","body-care","","0","0","FCS-C6032B","American Dream Cocoa Butter Lemon Cream — body care that leaves skin soft, smooth and comfortable.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785948571/freedomcosmeticshop/products/mbol7eywlmb1fh6q9esl.jpg"
"asantee-papaya-honey-soap-125g","Asantee Papaya & Honey Soap 125g","","soap","","0","0","FCS-191AB8","Asantee Papaya & Honey Soap 125g — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785328080/freedomcosmeticshop/products/mqizskrjx7g1hv7baw97.jpg"
"asantee-tamarind-goat-milk-herbal-soap","ASANTEE Tamarind & Goat Milk Herbal Soap (สบู่สมุนไพรมะขามผสมนมแพะ)","","soap","","0","0","FCS-6E8935","ASANTEE Tamarind & Goat Milk Herbal Soap (สบู่สมุนไพรมะขามผสมนมแพะ) — a bathing bar that cleanses and refreshes, leaving skin feeling clean and lightly fragranced.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785328045/freedomcosmeticshop/products/rthzbglcxeonsnbqi8qd.jpg"
"baby-line-perfumed-baby-petroleum-jelly","Baby Line Perfumed Baby Petroleum Jelly","","baby-kids","","0","0","FCS-31E52C","Baby Line Perfumed Baby Petroleum Jelly — gentle care for delicate baby and child skin.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785615477/freedomcosmeticshop/products/ntinu75c2ltvhj4lq7hd.jpg"
"bara-eau-de-parfum-2-piece-luxury-gift-set","BARA Eau De Parfum 2-Piece Luxury Gift Set","","fragrance","","0","0","FCS-3504D9","BARA Eau De Parfum 2-Piece Luxury Gift Set — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785507519/freedomcosmeticshop/products/tltaklao8sq0shqzsa0p.jpg"
"barakkat-rouge-540-eau-de-parfum","Barakkat Rouge 540 Eau De Parfum","","fragrance","","0","0","FCS-679852","Barakkat Rouge 540 Eau De Parfum — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785503991/freedomcosmeticshop/products/gqwlfilbx1jmcpmniaht.jpg"
"barakkat-rouge-540-fragrance-mist-brume-parfum-e","Barakkat Rouge 540 Fragrance Mist (Brume Parfumée)","","fragrance","","0","0","FCS-66AE6E","Barakkat Rouge 540 Fragrance Mist (Brume Parfumée) — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785594756/freedomcosmeticshop/products/aomubkwawgiyhwzwsnez.jpg"
"bath-baby-week-beauty-summery-body-mist","Bath & Baby Week Beauty Summery Body Mist","","fragrance","","0","0","FCS-B978D3","Bath & Baby Week Beauty Summery Body Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785586590/freedomcosmeticshop/products/c3vzmzplrw2g0u2jxumw.jpg"
"bath-body-week-les-floraux-lune-smell-body-mist","Bath & Body Week LES FLORAUX Lune Smell Body Mist","","fragrance","","0","0","FCS-E429D5","Bath & Body Week LES FLORAUX Lune Smell Body Mist — fragrance that leaves a pleasant, long-lasting scent.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1785585706/freedomcosmeticshop/products/dyhwjtotfwvddfh5cjen.jpg"
"bismid-skin-glowing-bath-with-carrot-oil","Bismid Skin Glowing Bath with Carrot Oil","","body-care","","17000","100","FCS-BDAB1D","Bismid Skin Glowing Bath with Carrot Oil — body care that leaves skin soft, smooth and comfortable.","https://res.cloudinary.com/dohoc0tmp/image/upload/v1786452927/freedomcosmeticshop/products/t8ol2s2lqpdyyuot1d3z.jpg"
