"slug","name","category","sku","stock","price_RWF"
"baby-line-perfumed-baby-petroleum-jelly","Baby Line Perfumed Baby Petroleum Jelly","baby-kids","FCS-31E52C","300",""
"bouchou-soft-soap-moisturizing-soothing-gentle-baby-family-bar","Bouchou Soft Soap Moisturizing & Soothing (Gentle Baby & Family Bar)","baby-kids","FCS-7E7C6A","300",""
"boudchou-baby-ointment-pommade-b-b","Boudchou Baby Ointment (Pommade Bébé)","baby-kids","FCS-84736B","300",""
"boudchou-baby-petroleum-jelly-cr-me-onctueuse-protectrice","Boudchou Baby Petroleum Jelly / Crème Onctueuse Protectrice","baby-kids","FCS-A5D052","300",""
"johnson-s-baby-aqueous-cream-lightly-fragranced-350ml","Johnson's Baby Aqueous Cream Lightly Fragranced 350ml","baby-kids","FCS-F88C1B","300",""
"vaseline-blue-seal-baby-perfumed-petroleum-jelly","Vaseline Blue Seal Baby Perfumed Petroleum Jelly","baby-kids","FCS-C85D65","300",""
"zwitsal-baby-body-lotion-with-avocado-oil-400ml","Zwitsal Baby Body Lotion with Avocado Oil – 400ml","baby-kids","FCS-414D9E","300",""
"american-dream-cocoa-butter-lemon-cream","American Dream Cocoa Butter Lemon Cream","body-care","FCS-C6032B","300",""
"rinju-beaut-r-elle-body-hand-cream","Rinju Beauté Réelle Body & Hand Cream","body-care","FCS-31676E","300",""
"vaseline-intensive-care-cocoa-radiant-vitalizing-body-oil","Vaseline Intensive Care Cocoa Radiant Vitalizing Body Oil","body-oil","FCS-51D6FF","300",""
"777-men-super-love-perfume-set-2-pcs-1","777 MEN Super Love Perfume Set (2 Pcs)","fragrance","FCS-790880","300",""
"bara-eau-de-parfum-2-piece-luxury-gift-set","BARA Eau De Parfum 2-Piece Luxury Gift Set","fragrance","FCS-3504D9","300",""
"barakkat-rouge-540-eau-de-parfum","Barakkat Rouge 540 Eau De Parfum","fragrance","FCS-679852","300",""
"barakkat-rouge-540-fragrance-mist-brume-parfum-e","Barakkat Rouge 540 Fragrance Mist (Brume Parfumée)","fragrance","FCS-66AE6E","300",""
"bath-baby-week-beauty-summery-body-mist","Bath & Baby Week Beauty Summery Body Mist","fragrance","FCS-B978D3","300",""
"bath-body-week-les-floraux-lune-smell-body-mist","Bath & Body Week LES FLORAUX Lune Smell Body Mist","fragrance","FCS-E429D5","300",""
"bleu-de-parfum-paris-50ml-eau-de-parfum-set","BLEU DE PARFUM Paris 50ml Eau de Parfum Set","fragrance","FCS-FF9EA0","300",""
"change-de-canal-fragrance-mist-brume-parfum-e","Change De Canal Fragrance Mist (Brume Parfumée)","fragrance","FCS-A3624C","300",""
"coconut-fantasy-fine-fragrance-mist","Coconut Fantasy Fine Fragrance Mist","fragrance","FCS-7B4597","300",""
"dear-body-autumn-cicada-fine-fragrance-mist","Dear Body Autumn Cicada Fine Fragrance Mist","fragrance","FCS-81C0BD","300",""
"dear-body-be-myself-fine-fragrance-mist","Dear Body Be Myself Fine Fragrance Mist","fragrance","FCS-F3F3B3","300",""
"dear-body-border-girl-fine-fragrance-mist","Dear Body Border Girl Fine Fragrance Mist","fragrance","FCS-DC00B0","300",""
"dear-body-brilliant-sunflower-fine-fragrance-mist","Dear Body Brilliant Sunflower Fine Fragrance Mist","fragrance","FCS-4A9672","300",""
"dear-body-noir-for-men-body-mist","Dear Body NOIR for men Body Mist","fragrance","FCS-4371B1","300",""
"dear-body-noir-fragrance-mist","Dear Body Noir Fragrance Mist","fragrance","FCS-3F5612","300",""
"dear-body-scarlet-for-men-body-mist","Dear Body SCARLET for Men Body Mist","fragrance","FCS-03E07E","300",""
"dear-body-sweet-vanilla-fine-fragrance-mist","Dear Body Sweet Vanilla Fine Fragrance Mist","fragrance","FCS-39B312","300",""
"intense-wood-fragrance-mist-brume-parfum-e","Intense Wood Fragrance Mist (Brume Parfumée)","fragrance","FCS-27EC6D","300",""
"kristal-fragrance-mist-brume-parfum-e","Kristal Fragrance Mist (Brume Parfumée)","fragrance","FCS-136B40","300",""
"mayora-eau-de-parfum-2-piece-luxury-gift-set","MAYORA Eau De Parfum 2-Piece Luxury Gift Set","fragrance","FCS-29363F","300",""
"oniro-fragrance-mist-brume-parfum-e","ONIRO Fragrance Mist (Brume Parfumée)","fragrance","FCS-D6A94C","300",""
"oud-for-glory-bade-e-al-oud-fragrance-mist-brume-parfum-e","Oud For Glory (Bade'e Al Oud) Fragrance Mist (Brume Parfumée)","fragrance","FCS-9360CB","300",""
"scanoal-a-paris-eau-de-parfum-spray-set-2-pcs","SCANOAL A PARIS Eau de Parfum Spray Set (2 Pcs)","fragrance","FCS-1002E9","300",""
"super-love-eau-de-parfum-2-piece-gift-set","Super Love Eau De Parfum 2-Piece Gift Set","fragrance","FCS-2E7A51","300",""
"super-love-red-eau-de-parfum-2pcs-gift-set","SUPER LOVE' RED Eau de Parfum 2PCS Gift Set","fragrance","FCS-97CCA1","300",""
"sweet-rose-eau-de-parfum-spray-for-women","Sweet Rose Eau de Parfum Spray for Women","fragrance","FCS-B9FF14","300",""
"verlorna-world-barakkat-rouge-540-body-mist","Verlorna World Barakkat Rouge 540 Body Mist","fragrance","FCS-16E1CE","300",""
"verlorna-world-fantsly","Verlorna World Fantsly","fragrance","FCS-A23DD9","300",""
"verlorna-world-for-away-body-mist","Verlorna World For Away Body Mist","fragrance","FCS-2410B8","300",""
"verlorna-world-ideal-fragrance-mist","Verlorna World Ideal Fragrance Mist","fragrance","FCS-DE5FB1","300",""
"yara-pink-fragrance-mist-brume-parfum-e","Yara Pink Fragrance Mist (Brume Parfumée)","fragrance","FCS-6032E8","300",""
"cantu-shea-butter-for-natural-hair-coconut-curling-cream","Cantu Shea Butter for Natural Hair Coconut Curling Cream","haircare","FCS-3CE9F7","300",""
"dax-pomade-now-with-lanolin","DAX Pomade Now With Lanolin","haircare","FCS-46F915","300",""
"mega-growth-break-free-hair-scalp-food","Mega Growth Break-Free Hair & Scalp Food","haircare","FCS-080E75","300",""
"miadi-hair-curl-activator-gel","MIADI Hair Curl Activator Gel","haircare","FCS-A6311A","300",""
"miadi-hair-mouldin-gel-wax-with-olive-oil","MIADI Hair Mouldin' Gel Wax (With Olive Oil)","haircare","FCS-FD701B","300",""
"movit-blow-out-creme-hair-relaxer-150g","Movit Blow Out Creme Hair Relaxer (150g)","haircare","MOVIT-BLOWOUT-RELAXER","300",""
"movit-sheen-hair-spray-olive-argan-oil","Movit Sheen Hair Spray Olive & Argan Oil","haircare","FCS-E7DCB3","300",""
