name,slug,category,price_RWF,stock,shortDescription
Dettol Fresh Antibacterial Soap (Pack of 4),soap,soap,,,
Rinju Beauté Réelle Body & Hand Cream,rinju-beaut-r-elle-body-hand-cream,skincare,,,
Kojie San Classic Skin Lightening Soap,kojie-san-classic-skin-lightening-soap,skincare,,,
Asantee Papaya & Honey Soap 125g,asantee-papaya-honey-soap-125g,body-care,,,
Pyary Ayurvedic Turmeric Soap,pyary-ayurvedic-turmeric-soap,body-care,,,
Dove Original Beauty Cream Bar 100g,dove-original-beauty-cream-bar-100g,body-care,,,
Carambola Black Spots Herbal Soap with Honey,carambola-black-spots-herbal-soap-with-honey,body-care,,,
Dalan Glycerin Soap with Organic Argan Oil,dalan-glycerin-soap-with-organic-argan-oil,body-care,,,
Duru Natural Olive Soap with Olive Oil Extract,duru-natural-olive-soap-with-olive-oil-extract,body-care,,,
Bouchou Soft Soap Moisturizing & Soothing (Gentle Baby & Family Bar),bouchou-soft-soap-moisturizing-soothing-gentle-baby-family-bar,skincare,,,
Dettol Original Antibacterial Soap 100g,dettol-original-antibacterial-soap-100g,body-care,,,
Dettol Juniors Glycerine Soap,dettol-juniors-glycerine-soap,body-care,,,
ASANTEE Tamarind & Goat Milk Herbal Soap (สบู่สมุนไพรมะขามผสมนมแพะ),asantee-tamarind-goat-milk-herbal-soap,body-care,,,
Dalan Glycerin Soap Organic Lime,dalan-glycerin-soap-organic-lime,skincare,,,
Dalan Glycerin Soap Organic Olive Oil,dalan-glycerin-soap-organic-olive-oil,skincare,,,
Imperial Leather Timeless Classic Bathing Bar Soap,imperial-leather-timeless-classic-bathing-bar-soap,body-care,,,
Extract Whitening Herbal Soap Papaya Calaman,extract-whitening-herbal-soap-papaya-calaman,body-care,,,
Protex Gentle Anti-Germ Bar Soap,protex-gentle-anti-germ-bar-soap,body-care,,,
EVA Bathing Soap Refresh (Coconut & Lavender),eva-bathing-soap-refresh-coconut-lavender,body-care,,,
Dalan Citron Frais Classic Multipurpose Soap,dalan-citron-frais-classic-multipurpose-soap,body-care,,,
MPYA Rungu-Medi Anti-Bacterial Soap,mpya-rungu-medi-anti-bacterial-soap,body-care,,,
NINA Family Soap Bathing Bar (Rose & Peach),nina-family-soap-bathing-bar-rose-peach,body-care,,,
"Turmeric Super Whitening Soap (Body Repair, Anti Dark Spots & Anti-aging)",turmeric-super-whitening-soap-body-repair-anti-dark-spots-anti-aging,body-care,,,
Duru Fresh Sensations Beauty Soap – Ocean Breeze (Pack of 4),duru-fresh-sensations-beauty-soap-ocean-breeze-pack-of-4,body-care,,,
Duru Perfume Beauties Beauty Soap – Orchid Charm (Pack of 4),duru-perfume-beauties-beauty-soap-orchid-charm-pack-of-4,body-care,,,
Duru Fresh Sensations Beauty Soap – Floral Infusion (Pack of 4),duru-fresh-sensations-beauty-soap-floral-infusion-pack-of-4,body-care,,,
Papaya Carrot Gluta Soap Scrub Beads,papaya-carrot-gluta-soap-scrub-beads,body-care,,,
Geisha Caring Coconut & Honey Soap,geisha-caring-coconut-honey-soap,body-care,,,
Victoria Super Colorful (VSC) Carrot 7 Days Extra Whitening Soap,victoria-super-colorful-vsc-carrot-7-days-extra-whitening-soap,body-care,,,
Veet Gold Vitamin C Body Corrector Soap (7 Days Whitening and Glowing Soap SPF15),veet-gold-vitamin-c-body-corrector-soap-7-days-whitening-and-glowing-soap-spf15,body-care,,,
Geisha Soothing Aloe Vera & Honey Soap (Strong & Long Lasting Daily Bathing Bar),geisha-soothing-aloe-vera-honey-soap-strong-long-lasting-daily-bathing-bar,body-care,,,
KOJIC WHITE X2 Double Whitening Suite Soap (By Nano D-ne),kojic-white-x2-double-whitening-suite-soap-by-nano-d-ne,skincare,,,
Touch Me! PLEASE Whitening Soap for Oily Skin (With Natural Extracts),touch-me-please-whitening-soap-for-oily-skin-with-natural-extracts,body-care,,,
Original Pure Egyptian Magic Whitening Gold Soap (With Egg Yolk & L-Glutathione),original-pure-egyptian-magic-whitening-gold-soap-with-egg-yolk-l-glutathione,body-care,,,
Lab White Atom Whitening Egg Yolk Soap,lab-white-atom-whitening-egg-yolk-soap,body-care,,,
Barakkat Rouge 540 Eau De Parfum,barakkat-rouge-540-eau-de-parfum,fragrance,,,
MAYORA Eau De Parfum 2-Piece Luxury Gift Set,mayora-eau-de-parfum-2-piece-luxury-gift-set,fragrance,,,
Super Love Eau De Parfum 2-Piece Gift Set,super-love-eau-de-parfum-2-piece-gift-set,fragrance,,,
BARA Eau De Parfum 2-Piece Luxury Gift Set,bara-eau-de-parfum-2-piece-luxury-gift-set,fragrance,,,
SUPER LOVE' RED Eau de Parfum 2PCS Gift Set,super-love-red-eau-de-parfum-2pcs-gift-set,fragrance,,,
BLEU DE PARFUM Paris 50ml Eau de Parfum Set,bleu-de-parfum-paris-50ml-eau-de-parfum-set,fragrance,,,
777 MEN Super Love Perfume Set (2 Pcs),777-men-super-love-perfume-set-2-pcs-1,fragrance,,,
Sweet Rose Eau de Parfum Spray for Women,sweet-rose-eau-de-parfum-spray-for-women,fragrance,,,
SCANOAL A PARIS Eau de Parfum Spray Set (2 Pcs),scanoal-a-paris-eau-de-parfum-spray-set-2-pcs,fragrance,,,
Dear Body Be Myself Fine Fragrance Mist,dear-body-be-myself-fine-fragrance-mist,fragrance,,,
Dear Body Border Girl Fine Fragrance Mist,dear-body-border-girl-fine-fragrance-mist,fragrance,,,
Dear Body Brilliant Sunflower Fine Fragrance Mist,dear-body-brilliant-sunflower-fine-fragrance-mist,fragrance,,,
Coconut Fantasy Fine Fragrance Mist,coconut-fantasy-fine-fragrance-mist,fragrance,,,
Dear Body Autumn Cicada Fine Fragrance Mist,dear-body-autumn-cicada-fine-fragrance-mist,fragrance,,,
Dear Body Sweet Vanilla Fine Fragrance Mist,dear-body-sweet-vanilla-fine-fragrance-mist,fragrance,,,
Dear Body SCARLET for Men Body Mist,dear-body-scarlet-for-men-body-mist,fragrance,,,
Dear Body NOIR for men Body Mist,dear-body-noir-for-men-body-mist,fragrance,,,
Bath & Body Week LES FLORAUX Lune Smell Body Mist,bath-body-week-les-floraux-lune-smell-body-mist,fragrance,,,
Bath & Baby Week Beauty Summery Body Mist,bath-baby-week-beauty-summery-body-mist,fragrance,,,
Verlorna World Fantsly,verlorna-world-fantsly,fragrance,,,
Verlorna World For Away Body Mist,verlorna-world-for-away-body-mist,fragrance,,,
Verlorna World Barakkat Rouge 540 Body Mist,verlorna-world-barakkat-rouge-540-body-mist,fragrance,,,
Verlorna World Ideal Fragrance Mist,verlorna-world-ideal-fragrance-mist,fragrance,,,
Dear Body Noir Fragrance Mist,dear-body-noir-fragrance-mist,fragrance,,,
Kristal Fragrance Mist (Brume Parfumée),kristal-fragrance-mist-brume-parfum-e,body-care,,,
Barakkat Rouge 540 Fragrance Mist (Brume Parfumée),barakkat-rouge-540-fragrance-mist-brume-parfum-e,fragrance,,,
Oud For Glory (Bade'e Al Oud) Fragrance Mist (Brume Parfumée),oud-for-glory-bade-e-al-oud-fragrance-mist-brume-parfum-e,fragrance,,,
ONIRO Fragrance Mist (Brume Parfumée),oniro-fragrance-mist-brume-parfum-e,fragrance,,,
Intense Wood Fragrance Mist (Brume Parfumée),intense-wood-fragrance-mist-brume-parfum-e,fragrance,,,
Yara Pink Fragrance Mist (Brume Parfumée),yara-pink-fragrance-mist-brume-parfum-e,fragrance,,,
Change De Canal Fragrance Mist (Brume Parfumée),change-de-canal-fragrance-mist-brume-parfum-e,fragrance,,,
Baby Line Perfumed Baby Petroleum Jelly,baby-line-perfumed-baby-petroleum-jelly,skincare,,,
Johnson's Baby Aqueous Cream Lightly Fragranced 350ml,johnson-s-baby-aqueous-cream-lightly-fragranced-350ml,skincare,,,
Vaseline Blue Seal Original 100% Pure Petroleum Jelly 240ml,vaseline-blue-seal-original-100-pure-petroleum-jelly-240ml,skincare,,,
Vaseline Blue Seal Aloe Vera Perfumed Petroleum Jelly 240ml,vaseline-blue-seal-aloe-vera-perfumed-petroleum-jelly-240ml,skincare,,,
Vaseline Blue Seal Men Cooling Perfumed Petroleum Jelly 240ml,vaseline-blue-seal-men-cooling-perfumed-petroleum-jelly-240ml,mens-grooming,,,
Vaseline Blue Seal Baby Perfumed Petroleum Jelly,vaseline-blue-seal-baby-perfumed-petroleum-jelly,skincare,,,
Vaseline Blue Seal Cocoa Butter Perfumed Petroleum Jelly,vaseline-blue-seal-cocoa-butter-perfumed-petroleum-jelly,skincare,,,
Boudchou Baby Ointment (Pommade Bébé),boudchou-baby-ointment-pommade-b-b,skincare,,,
Boudchou Baby Petroleum Jelly / Crème Onctueuse Protectrice,boudchou-baby-petroleum-jelly-cr-me-onctueuse-protectrice,body-care,,,
More Up Aloe Vera & Vitamin E 2-in-1 Pure Petroleum Jelly,more-up-aloe-vera-vitamin-e-2-in-1-pure-petroleum-jelly,skincare,,,
Dabur Herbolene Aloe Jelly,dabur-herbolene-aloe-jelly,skincare,,,
Dabur Herbolene Aloe Jelly,dabur-herbolene-aloe-jelly-1,skincare,,,
Roushun Turmeric with Vitamin C Lighten Body Lotion,roushun-turmeric-with-vitamin-c-lighten-body-lotion,skincare,,,
Purec Egyptian Gold 14Days Face & Body Lotion,purec-egyptian-gold-14days-face-body-lotion,skincare,,,
Vaseline Intensive Care Cocoa Radiant Vitalizing Body Oil,vaseline-intensive-care-cocoa-radiant-vitalizing-body-oil,body-care,,,
Zwitsal Baby Body Lotion with Avocado Oil – 400ml,zwitsal-baby-body-lotion-with-avocado-oil-400ml,body-care,,,
